   PID    TID %CPU     TIME NLWP  C
 41991  45349  0.0 00:00:11 1072  0
 41991  45350  0.0 00:00:01 1072  0
 41991  45351  0.0 00:00:01 1072  0
 41991  45352  0.0 00:00:11 1072  0
 41991  45353  0.0 00:00:11 1072  0
 41991  45354  0.0 00:00:01 1072  0
 41991  45355  0.0 00:00:01 1072  0
 41991  45356  0.0 00:00:01 1072  0
 41991  45357  0.0 00:00:12 1072  0
 41991  45358  0.0 00:00:01 1072  0
 41991  45359  0.0 00:00:01 1072  0
 41991  45360  0.0 00:00:11 1072  0
 41991  45361  0.0 00:00:11 1072  0
 41991  45362  0.0 00:00:01 1072  0
 41991  45363  0.0 00:00:11 1072  0
 41991  45364  0.0 00:00:01 1072  0
 41991  45365  0.0 00:00:01 1072  0
 41991  45367  0.0 00:00:11 1072  0
 41991  45368  0.0 00:00:01 1072  0
 41991  45369  0.0 00:00:01 1072  0
 41991  45370  0.0 00:00:11 1072  0
 41991  45371  0.0 00:00:11 1072  0
 41991  45372  0.0 00:00:01 1072  0
 41991  45373  0.0 00:00:11 1072  0
 41991  45374  0.0 00:00:01 1072  0
 41991  45375  0.0 00:00:11 1072  0
 41991  45376  0.0 00:00:01 1072  0
 41991  45377  0.0 00:00:11 1072  0
 41991  45378  0.0 00:00:11 1072  0
 41991  45379  0.0 00:00:01 1072  0
 41991  45380  0.0 00:00:01 1072  0
 41991  45381  0.0 00:00:11 1072  0
 41991  45382  0.0 00:00:11 1072  0
 41991  45383  0.0 00:00:01 1072  0
 41991  45384  0.0 00:00:01 1072  0
 41991  45385  0.0 00:00:01 1072  0
 41991  45386  0.0 00:00:11 1072  0
 41991  45387  0.0 00:00:11 1072  0
 41991  45388  0.0 00:00:01 1072  0
 41991  45389  0.0 00:00:11 1072  0
 41991  45390  0.0 00:00:01 1072  0
 41991  45391  0.0 00:00:12 1072  0
 41991  45392  0.0 00:00:01 1072  0
 41991  45393  0.0 00:00:12 1072  0
 41991  45395  0.0 00:00:01 1072  0
 41991  45396  0.0 00:00:11 1072  0
 41991  45397  0.0 00:00:01 1072  0
 41991  45398  0.0 00:00:11 1072  0
 41991  45399  0.0 00:00:01 1072  0
 41991  45400  0.0 00:00:11 1072  0
 41991  45401  0.0 00:00:01 1072  0
 41991  45402  0.0 00:00:01 1072  0
 41991  45403  0.0 00:00:12 1072  0
 41991  45404  0.0 00:00:11 1072  0
 41991  45405  0.0 00:00:11 1072  0
 41991  45406  0.0 00:00:01 1072  0
 41991  45407  0.0 00:00:01 1072  0
 41991  45408  0.0 00:00:11 1072  0
 41991  45409  0.0 00:00:01 1072  0
 41991  45410  0.0 00:00:11 1072  0
 41991  45411  0.0 00:00:01 1072  0
 41991  45412  0.0 00:00:01 1072  0
 41991  45413  0.0 00:00:01 1072  0
 41991  45414  0.0 00:00:11 1072  0
 41991  45415  0.0 00:00:12 1072  0
 41991  45416  0.0 00:00:01 1072  0
 41991  45417  0.0 00:00:01 1072  0
 41991  45418  0.0 00:00:01 1072  0
 41991  45419  0.0 00:00:01 1072  0
 41991  45420  0.0 00:00:11 1072  0
 41991  45421  0.0 00:00:11 1072  0
 41991  45422  0.0 00:00:01 1072  0
 41991  45423  0.0 00:00:11 1072  0
 41991  45425  0.0 00:00:01 1072  0
 41991  45426  0.0 00:00:01 1072  0
 41991  45427  0.0 00:00:11 1072  0
 41991  45428  0.0 00:00:01 1072  0
 41991  45429  0.0 00:00:01 1072  0
 41991  45430  0.0 00:00:11 1072  0
 41991  45431  0.0 00:00:01 1072  0
 41991  45432  0.0 00:00:11 1072  0
 41991  45433  0.0 00:00:11 1072  0
 41991  45436  0.0 00:00:01 1072  0
 41991  45441  0.0 00:00:01 1072  0
 41991  45445  0.0 00:00:11 1072  0
 41991  45457  0.0 00:00:11 1072  0
 41991  45459  0.0 00:00:11 1072  0
 41991  45460  0.0 00:00:01 1072  0
 41991  45462  0.0 00:00:11 1072  0
 41991  45463  0.0 00:00:11 1072  0
 41991  45464  0.0 00:00:11 1072  0
